genre,band_name,album_name,album_release_date,album_id
thrash metal,Metallica,72 Seasons,2023-04-14,6UwjRSX9RQyNgJ3LwYhr9i
thrash metal,Metallica,S&M2,2020-08-28,7Hc3m7konwS0ugyN8vJhNg
thrash metal,Metallica,Hardwired…To Self-Destruct,2016-11-18,7LwifLL1anaEd9eIIfIkx7
thrash metal,Metallica,Lulu,2011-01-01,3a1SJd8obHju43McHQew7J
thrash metal,Metallica,Death Magnetic,2008-01-01,3bK58rVcWBh3V3vxMLzi0V
thrash metal,Metallica,Some Kind Of Monster,2004-07-13,4t0oscNTGJkXiIB2uqZYWg
thrash metal,Metallica,St. Anger,2003-01-01,0HKpzK9ZoJ0oVA43E5gewM
thrash metal,Metallica,S&M,1999-01-01,1OZaosC2RtsE2TEqLziwAD
thrash metal,Metallica,Garage Inc.,1998-01-01,0vshXZYhBkbIoqxyC2fXcF
thrash metal,Metallica,Reload,1997-01-01,0Ip2GlQPoAIgdkqCO2YkMa
thrash metal,Metallica,Load,1996-01-01,6ndH0UlQbyCOVqByMXXhdV
thrash metal,Pantera,Reinventing the Steel,2000-01-01,7sEY94y1wQACVwMgeE62hd
thrash metal,Pantera,The Great Southern Trendkill,1996-05-03,4LdquqwQoyu1pE6Vq8PIha
thrash metal,Pantera,Far Beyond Driven,,70GAqt2avSiKBJ2IEymou1
thrash metal,Pantera,Vulgar Display of Power,1992-02-21,7kW0cpKgSVsEqcc8xgbSb0
thrash metal,Pantera,Cowboys from Hell,1990-07-20,5szY4sBOSD6IFjFN1RtWTe
thrash metal,Megadeth,"The Sick, The Dying… And The Dead!",2022-09-02,1ziUtOuRT545OI4cnHEMhC
thrash metal,Megadeth,Warheads On Foreheads,2019-03-22,58p5IFT7CEcMHSrAIuO5DJ
thrash metal,Megadeth,Killing Is My Business...And Business Is Good - The Final Kill,2018-06-08,1fQP14KigA58xjlYNf4Uac
thrash metal,Megadeth,Dystopia,2016-01-22,4sP7CAPrmdBD1ojBBrPxiV
thrash metal,Megadeth,Super Collider,2013-01-01,4SG1HFhXihESspVTyKYl5j
thrash metal,Megadeth,Th1rt3en,2011-10-26,0ja6Rjg1a5Fw2IEwTymwQE
thrash metal,Megadeth,ENDGAME,2009-09-09,0ncpKwYq9C3tXxDWPpdvId
thrash metal,Megadeth,United Abominations,2007-05-15,4MCyfIlCbqoU8wg2F3hMw3
thrash metal,Megadeth,Warchest,2007-01-01,0hjcoB3dyY4BNonhEqdoRq
thrash metal,Megadeth,The System Has Failed,2004-09-14,61r8RVSOccHFbMtUDzGpns
thrash metal,Slayer,Praying To Satan,2019-04-05,5criweFcDEpgMJBOVSu9FE
thrash metal,Slayer,Repentless,2015-09-11,5QTGKCuJbyViaQQXjHOvjL
thrash metal,Slayer,World Painted Blood,2009-01-01,44MTd2OAtSYY63DCcQ7P8n
thrash metal,Slayer,Christ Illusion,2006-01-01,41dQQuob8FPy5zWGg4vLXU
thrash metal,Slayer,Soundtrack To The Apocalypse,2003-01-01,4i1dW5u1egajFXlgpuVPVe
thrash metal,Slayer,God Hates Us All,2001-01-01,3MuaoZgcAFuanhg04e75LK
thrash metal,Slayer,Diabolus In Musica,1998-01-01,2YKQekIfxPZK0O2XKw6wr6
thrash metal,Slayer,Undisputed Attitude,1996-01-01,743y70pTrfEfHZHtIyyQ6c
thrash metal,Slayer,Divine Intervention,1994-01-01,31pVN7QZwfWFo388SICgnd
thrash metal,Slayer,Seasons In The Abyss,1990-01-01,49QJ9TAWNqZGbFUvadXPgT
